Year,Elevation,Volume
1983,220,7.638
1983,221,10
1983,222,12.5
1983,223,15
1983,224,20
1983,225,22.335
1983,226,29
1983,227,35
1983,228,40
1983,229,48.5
1983,230,55.33
1983,231,66.1
1983,232,77.9
1983,233,85
1983,234,94.8
1983,235,103.295
1983,236,117.5
1983,237,130
1983,238,143.2
1983,239,155
1983,240,167.903
1983,241,185
1983,242,200
1983,243,219
1983,244,235.1
1983,245,252.89
1983,246,272.5
1983,247,291.15
1983,248,324
1983,249,335.1
1983,250,359.782
1983,251,380
1983,252,402
1983,253,428.067
1983,254,455
1983,255,489.684
1983,256,512.1
1983,257,542.1
1983,258,573
1983,259,607.1
1983,260,645.376
1983,261,675
1983,262,710
1983,263,746.1
1983,264,786.1
1983,265,824.783
1983,266,865
1983,267,909.1
1983,268,950
1983,269,994.1
1983,270,1031.241
1983,271,1080.1
1983,271.8,1127
1993,220,18.43
1993,221,21.47
1993,222,24.84
1993,223,28.6
1993,224,32.79
1993,225,37.62
1993,226,43.6
1993,227,50.63
1993,228,58.43
1993,229,66.87
1993,230,75.85
1993,231,85.45
1993,232,95.67
1993,233,106.5
1993,234,118
1993,235,130.1
1993,236,142.9
1993,237,156.3
1993,238,170.1
1993,239,184.4
1993,240,199.7
1993,241,215.6
1993,242,232.2
1993,243,249.5
1993,244,267.8
1993,245,287.1
1993,246,307.1
1993,247,328.8
1993,248,351.4
1993,249,374.9
1993,250,399.2
1993,251,424.8
1993,252,451.5
1993,253,479.5
1993,254,508.6
1993,255,538.8
1993,256,570
1993,257,602.2
1993,258,635.6
1993,259,670.1
1993,260,705.6
1993,261,742.6
1993,262,780.4
1993,263,819.7
1993,264,860.4
1993,265,902.3
1993,266,945.8
1993,267,990.4
1993,268,1037
1993,269,1085
1993,270,1134
1993,271,1186
1993,271.8,1229.78
2003,220,7.241
2003,221,9.012
2003,222,11.034
2003,223,13.338
2003,224,15.991
2003,225,19.136
2003,226,22.991
2003,227,28.14
2003,228,34.294
2003,229,41.313
2003,230,49.133
2003,231,57.595
2003,232,66.672
2003,233,76.366
2003,234,86.637
2003,235,97.5
2003,236,109.004
2003,237,121.159
2003,238,133.964
2003,239,147.43
2003,240,161.554
2003,241,176.35
2003,242,191.822
2003,243,207.968
2003,244,224.905
2003,245,242.822
2003,246,261.645
2003,247,281.325
2003,248,301.865
2003,249,323.219
2003,250,345.39
2003,251,368.49
2003,252,392.861
2003,253,418.425
2003,254,445.151
2003,255,473.192
2003,256,502.36
2003,257,532.646
2003,258,563.967
2003,259,596.188
2003,260,629.331
2003,261,663.485
2003,262,698.652
2003,263,735.032
2003,264,772.559
